datetime,precipitation,et,discharge
2024-09-05 01:00:00,0.6,60.42,3.65525
2024-09-05 02:00:00,0.0,60.42,3.596833333333333
2024-09-05 03:00:00,0.0,60.42,3.4575
2024-09-05 04:00:00,0.0,60.42,3.41775
2024-09-05 05:00:00,0.0,60.42,3.672833333333333
2024-09-05 06:00:00,0.0,60.42,4.338
2024-09-05 07:00:00,0.0,60.42,5.678833333333333
2024-09-05 08:00:00,0.0,60.42,10.2825
2024-09-05 09:00:00,0.0,60.42,11.643666666666666
2024-09-05 10:00:00,0.0,60.42,11.220916666666668
2024-09-05 11:00:00,0.0,60.42,11.707666666666666
2024-09-05 12:00:00,0.0,60.42,11.706
2024-09-05 13:00:00,0.0,60.42,11.332333333333333
2024-09-05 14:00:00,0.0,60.42,10.981083333333332
2024-09-05 15:00:00,0.0,60.42,11.376333333333331
2024-09-05 16:00:00,0.0,60.42,12.023666666666664
2024-09-05 17:00:00,0.0,60.42,11.287
2024-09-05 18:00:00,0.0,60.42,10.665583333333332
2024-09-05 19:00:00,0.0,60.42,10.917916666666663
2024-09-05 20:00:00,0.0,60.42,10.6925
2024-09-05 21:00:00,0.0,60.42,10.244416666666666
2024-09-05 22:00:00,0.0,60.42,9.806416666666667
2024-09-05 23:00:00,0.0,60.42,9.23625
2024-09-06 00:00:00,0.0,60.42,8.0015
2024-09-06 01:00:00,0.0,60.42,7.61925
2024-09-06 02:00:00,0.0,60.42,7.126166666666666
2024-09-06 03:00:00,0.0,60.42,7.079916666666667
2024-09-06 04:00:00,0.0,60.42,6.803916666666667
2024-09-06 05:00:00,0.0,60.42,6.161833333333333
2024-09-06 06:00:00,0.0,60.42,5.8510833333333325
2024-09-06 07:00:00,0.0,60.42,5.14875
2024-09-06 08:00:00,0.0,60.42,5.220916666666667
2024-09-06 09:00:00,0.0,60.42,4.677666666666666
2024-09-06 10:00:00,0.0,60.42,3.7929166666666663
2024-09-06 11:00:00,0.0,60.42,3.1225
2024-09-06 12:00:00,0.2,60.42,2.94825
2024-09-06 13:00:00,0.0,60.42,2.8015000000000003
2024-09-06 14:00:00,0.1,60.42,2.7838333333333334
2024-09-06 15:00:00,0.0,60.42,2.931
2024-09-06 16:00:00,0.0,60.42,3.1346666666666665
2024-09-06 17:00:00,0.0,60.42,3.247666666666667
2024-09-06 18:00:00,0.0,60.42,3.376583333333333
2024-09-06 19:00:00,0.0,60.42,3.441583333333333
2024-09-06 20:00:00,0.0,60.42,3.889
2024-09-06 21:00:00,0.0,60.42,3.924333333333333
2024-09-06 22:00:00,0.0,60.42,3.908416666666667
2024-09-06 23:00:00,0.0,60.42,3.75175
2024-09-07 00:00:00,0.0,60.42,3.8806666666666665
2024-09-07 01:00:00,0.0,60.42,4.133166666666667
2024-09-07 02:00:00,0.0,60.42,3.763333333333333
2024-09-07 03:00:00,0.0,60.42,3.711
2024-09-07 04:00:00,0.0,60.42,3.781083333333333
2024-09-07 05:00:00,0.0,60.42,3.7524166666666665
2024-09-07 06:00:00,0.0,60.42,3.791166666666667
2024-09-07 07:00:00,0.0,60.42,3.81275
2024-09-07 08:00:00,0.0,60.42,3.8721666666666663
2024-09-07 09:00:00,0.0,60.42,3.602
2024-09-07 10:00:00,0.0,60.42,3.67875
2024-09-07 11:00:00,0.0,60.42,3.662416666666666
2024-09-07 12:00:00,0.0,60.42,3.86
2024-09-07 13:00:00,0.0,60.42,4.166333333333333
2024-09-07 14:00:00,0.0,60.42,4.424666666666666
2024-09-07 15:00:00,0.0,60.42,4.603166666666667
2024-09-07 16:00:00,0.0,60.42,5.252416666666667
2024-09-07 17:00:00,0.0,60.42,5.578333333333333
2024-09-07 18:00:00,0.0,60.42,5.712583333333334
2024-09-07 19:00:00,0.0,60.42,5.215333333333334
2024-09-07 20:00:00,0.0,60.42,5.7164166666666665
2024-09-07 21:00:00,0.0,60.42,6.22625
2024-09-07 22:00:00,0.0,60.42,5.771249999999999
2024-09-07 23:00:00,0.0,60.42,5.212083333333333
2024-09-08 00:00:00,0.0,60.42,5.452916666666667
2024-09-08 01:00:00,0.0,60.42,6.00325
2024-09-08 02:00:00,0.0,60.42,6.119666666666667
2024-09-08 03:00:00,0.0,60.42,6.772166666666667
2024-09-08 04:00:00,0.8,60.42,6.727666666666667
2024-09-08 05:00:00,0.6,60.42,5.7123333333333335
2024-09-08 06:00:00,0.9,60.42,4.958666666666667
2024-09-08 07:00:00,0.8,60.42,4.465833333333333
2024-09-08 08:00:00,0.0,60.42,4.70475
2024-09-08 09:00:00,0.0,60.42,4.97025
2024-09-08 10:00:00,0.0,60.42,4.948333333333333
2024-09-08 11:00:00,0.0,60.42,3.9725
2024-09-08 12:00:00,0.2,60.42,3.98625
2024-09-08 13:00:00,0.2,60.42,4.188666666666667
2024-09-08 14:00:00,0.0,60.42,4.5776666666666666
2024-09-08 15:00:00,0.0,60.42,5.0375000000000005
2024-09-08 16:00:00,0.0,60.42,4.607583333333333
2024-09-08 17:00:00,0.0,60.42,4.43425
2024-09-08 18:00:00,0.0,60.42,4.3085
2024-09-08 19:00:00,0.0,60.42,4.178416666666666
2024-09-08 20:00:00,0.0,60.42,4.41625
2024-09-08 21:00:00,0.0,60.42,4.713166666666667
2024-09-08 22:00:00,0.0,60.42,4.2195833333333335
2024-09-08 23:00:00,0.0,60.42,4.024
2024-09-09 00:00:00,0.0,60.42,4.187166666666667
2024-09-09 01:00:00,0.0,60.42,4.146833333333333
2024-09-09 02:00:00,0.0,60.42,3.874166666666667
2024-09-09 03:00:00,0.0,60.42,3.9179166666666663
